Headline	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?	Bipartisan Press Bias	Unnamed: 10	Factual Reporting	Unnamed: 12	(probably not needed)
Voting bills advance in Texas Legislature after overnight committe hearings	https://www.texastribune.org/2021/07/10/voting-bill-texas/	The Texas Tribune	45.9	-4.27		Left-Center	1.0	July 11, 2021		-4.390746		High		
What Virgin Galactic's milestone flight means for the future of tourists in space	https://www.nationalgeographic.com/science/article/what-virgin-galactic-milestone-flight-means-for-the-future-of-tourists-in-space	National Geographic	46.11	-2.58		Pro-Science	2.0	July 11, 2021		-1.623991		High		
It's two steps forward, 10 steps back:' Brexit, shifting demographics and familiar tensions stoke divisions in Northern Ireland	https://www.cnn.com/2021/07/11/uk/belfast-northern-ireland-tensions-intl-gbr-cmd/index.html	CNN	43.77	-8.78	79,900,000	Left	3.0	July 11, 2021		-6.067039		Mixed		
Italy beat England in shootout to win 2020 European Championship	https://www.espn.com/soccer/report/_/gameId/560294	ESPN				Left-Center	4.0	July 11, 2021		2.060121		High		
Heat wave keeps baking West after all-time high in Las Vegas on Saturday	https://www.washingtonpost.com/weather/2021/07/11/heat-wave-west-las-vegas/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	5.0	July 11, 2021		-0.803729		Mostly Factual		
Death toll rises to 90 in Surfside condominium collapse. New victims include 3 children	https://www.miamiherald.com/news/local/community/miami-dade/miami-beach/article252711353.html	Miami Herald	46.7	-3.86		Left-Center	6.0	July 11, 2021		UNK		High		
They will never let go': Isis fighters regroup in the heart of Iraq	https://www.theguardian.com/world/2021/jul/11/isis-fighters-regroup-in-the-heart-of-iraq	The Guardian	44.42	-9.93	88,750,000	Left-Center	7.0	July 11, 2021		-0.296883		Mixed		
Fencing around U.S. Capitol removed six months after deadly Jan. 6 attack	https://www.reuters.com/world/us/fencing-around-us-capitol-removed-six-months-after-deadly-jan-6-attack-2021-07-11/	REUTERS	49.3	-1.65	40,574,000	Neutral	8.0	July 11, 2021		1.105257		Very High		
Richard Branson's Virgin Galactic Flight Opens Door to Space Tourism	https://www.reuters.com/lifestyle/science/virgin-galactics-branson-ready-space-launch-aboard-rocket-plane-2021-07-11/	REUTERS	49.3	-1.65	40,574,000	Neutral	9.0	July 11, 2021		1.017142		Mostly Factual		
Novak Djokovic wins Wimbledon to claim record-tying 20th Grand Slam victory	https://www.espn.com/tennis/story/_/id/31800532/novak-djokovic-wins-wimbledon-claim-record-tying-20th-grand-slam-victory	ESPN				Left-Center	10.0	July 11, 2021		0.057179		High		
Novak Djokovic wins 20th Grand Slam at Wimbledon, ties men's all-time record	https://www.usatoday.com/story/sports/tennis/wimb/2021/07/11/wimbledon-novak-djokovic-wins-20th-grand-slam/7929828002/	USA Today	45.77	-4.12	44,075,000	Left-Center	11.0	July 11, 2021		-0.411525		High		
2 firefighters killed as Western wildfires intensify in heat wave	https://www.nbcnews.com/news/us-news/serious-situation-western-heat-wave-wildfires-threaten-california-power-grid-n1273635	NBC News	45.81	-7.46	26,225,000	Left-Center	12.0	July 11, 2021		-0.973122		High		
Haitians hope 'the truth will come out' as foreign investigators probe assassination of their  President	https://www.cnn.com/2021/07/11/americas/haiti-assassination-investigation-intl-cmd/index.html	CNN	43.77	-8.78	79,900,000	Left	13.0	July 11, 2021		-2.707007		Mixed		
Illinois Has a Program to Compensate Victims of Violent Crimes. Few Applicants Receive Funds.	https://www.thetrace.org/2021/07/illinois-violent-crime-victim-compensation-application-data/	The TRACE				Left-Center	14.0	July 11, 2021		-9.007444		High		
Florida condo collapse spurs many cities to action - but some worry residents will  resist	https://www.usatoday.com/restricted/?return=https%3A%2F%2Fwww.usatoday.com%2Fstory%2Fnews%2F2021%2F07%2F11%2Fflorida-condo-collapse-residents-heed-call-more-inspections%2F7905223002%2F	USA Today	45.77	-4.12	44,075,000	Left-Center	15.0	July 11, 2021		LOWDATA		High		
Heat wave hit Northwest business from Christmas trees and doughnuts to fish	https://www.wsj.com/articles/heat-wave-hit-northwest-businesses-from-christmas-trees-and-doughnuts-to-fish-11625995801	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	16.0	July 11, 2021		LOWDATA		Mostly Factual		
In Haiti, rivals claw for power as crisis escalates after assassination	https://www.washingtonpost.com/world/the_americas/haiti-assassination-biden-moise-power/2021/07/10/2abf4670-e186-11eb-a27f-8b294930e95b_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	17.0	July 11, 2021		-2.83281		Mostly Factual		
