Headline	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?	Bipartisan Press Bias	Unnamed: 10	Factual Reporting	Unnamed: 12	(probably not needed)
COVID-19 case count spikes hit almost every state	https://thehill.com/policy/healthcare/562628-covid-19-case-count-spikes-hit-almost-every-state	The Hill	44.99	-0.38	24,400,000	Neutral	27.0	July 13, 2021	False	-0.1562		Mostly Factual		
"Bootleg fire, one of dozens raging in the west, creates ""firenado"" near orgeon-california border"	https://www.usatoday.com/story/news/nation/2021/07/13/wildfires-roar-through-west-california-oregon-and-beyond/7947936002/	USA Today				Left-Center	28.0	July 13, 2021	True	1.229871		High		
South Africa Zuma riots: deadly unrest rages across country	https://www.bbc.com/news/world-africa-57818215	BBC News	46.44	-2.74	189,750,000	Left-Center	29.0	July 13, 2021	True	-3.640976		High		
Customers are back at restaurants and bard, but workers have moved on	https://www.wsj.com/articles/customers-are-back-at-restaurants-and-bars-but-workers-have-moved-on-11626168601	The Wall Street Journal				Right-Center	30.0	July 13, 2021	True	LOWDATA		Mostly Factual		
										ERROR				
Biden rallies support on Capitol Hill for sweeping spending deal	https://www.nbcnews.com/politics/congress/biden-heads-capitol-promote-infrastructure-deal-n1273907	NBC News	45.81	-7.46	26,225,000	Left-Center	1.0	July 14, 2021	True	2.43067				
Historians Identify 14 Living Relatives of Leonardo da Vinci	https://www.smithsonianmag.com/smart-news/da-vinci-relatives-dna-testing-genome-180978153/	Smithsonian				Pro-Science	2.0	July 14, 2021	False	-4.287061				
Britney Spears granted right to hire own lawyer; accuses father of 'conservatorship abuse'	https://www.nbcnews.com/pop-culture/pop-culture-news/britney-spears-wants-choose-her-own-attorney-she-may-find-n1273876	NBC News	45.81	-7.46	26,225,000	Left-Center	3.0	July 14, 2021	True	0.338154				
Cuba's Internet comes back on - and reveals scenes of a crackdown	https://www.washingtonpost.com/world/2021/07/14/cuba-protests-internet/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	4.0	July 14, 2021	True	-5.612255				
Wildfires spread across almost 1M miles of drought-stricken US	https://www.foxnews.com/us/wildfires-spread-million-acres-drought-us	Fox News				Right	5.0	July 14, 2021	True	2.442293				
What's in Democrats' $3.5 trillion budget plan - and how they plan to pay for it	https://www.wsj.com/articles/democrats-budget-plan-what-11626301275	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	6.0	July 14, 2021	True	LOWDATA				
