Top Stories	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?		Factual Reporting		(probably not needed)
One counselor, 665 students: Counselors stretched at Chicago's majority Latino schools	https://chicago.chalkbeat.org/2021/7/8/22566906/one-counselor-665-students-counselors-stretched-at-chicagos-majority-latino-schools	Chalkbeat				N/A	28	July 11, 2021			N/A		
Branson flight signals confidence in commercial spaceflight	https://www.washingtonpost.com/business/2021/07/09/rent-prices-rising/	CBS News	48.04	-3.14	24,400,000	Left-Center	29	July 11, 2021			High		
Rent prices are soaring as Americans flock back to cities	https://www.washingtonpost.com/business/2021/07/09/rent-prices-rising/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	30	July 11, 2021			Mostly Factual		
Third statue comes down in Charlottesville	https://www.nbcnews.com/news/us-news/robert-e-lee-statue-removed-charlottesville-n1273612	NBC News	45.81	-7.46	26,225,000	Left-Center	31	July 11, 2021			High		
Western states face possible all-time heat records this weekend	https://www.cnn.com/2021/07/10/weather/heat-records-weekend-rolling-blackouts-california/index.html	CNN	43.77	-8.78	79,900,000	Left	32	July 11, 2021			Mixed		
Charlottesville Removes Robert E. Lee Statue That Sparked A Deadly Rally	https://www.npr.org/2021/07/10/1014926659/charlottesville-removes-robert-e-lee-statue-that-sparked-a-deadly-rally	NPR	46.41	-5.24	38,240,000	Left-Center	33	July 11, 2021			Very High		
Cat that lived in collapsed Surfside condo tower is found safe, reunited with family	https://www.miamiherald.com/news/local/community/miami-dade/miami-beach/article252676183.html	Miami Herald	46.7	-3.86		Left-Center	34	July 11, 2021			High		
Biden's bid to take on big business sets off battle over who holds power in U.S. economy	https://www.seattletimes.com/nation-world/biden-taking-aim-at-big-business-in-sweeping-executive-order-to-boost-competition/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	35	July 11, 2021			Mostly Factual		
Scorching weekend heat expected to hit 30+ million people in West with temps up to 130 degrees	https://www.usatoday.com/story/news/nation/2021/07/09/weekend-heat-forecast-west-las-vegas-record-could-broken/7918244002/	USA Today	45.77	-4.12	44,075,000	Left-Center	36	July 11, 2021			High		
Lawyers for Breonna Taylor's family sue police over existence of body camera footage	https://abcnews.go.com/US/lawyers-breonna-taylors-family-sue-police-existence-body/story?id=78753109#:~:text=LOG%20IN-,Lawyers%20for%20Breonna%20Taylor's%20family%20sue%20police%20over%20existence%20of,%2C%22%20said%20attorney%20Sam%20Aguiar.&text=%22Breonna's%20family%20has%20a%20right%20to%20the%20records%2C%22%20Taylor,a%20right%20to%20the%20records.%22	ABC News	47.28	-4.9	39,500,000	Left-Center	37	July 11, 2021			High		
We live in a desert. We have to act like it': Las Vegas faces reality of drought	https://www.theguardian.com/us-news/2021/jul/09/las-vegas-climate-change-drought-water-conservation	The Guardian	44.42	-9.93	88,750,000	Left-Center	38	July 11, 2021			Mixed		
A third of Wisconsin's wolves killed after losing protections this year, study says	https://www.nationalgeographic.com/animals/article/wisconsin-wolf-hunt-killed-one-third-state-population	National Geographic	46.11	-2.58		Pro-Science	39	July 11, 2021			High		
Where Are The Newest COVID Hot Spots? Mostly Places With Low Vaccination Rates	https://www.npr.org/sections/health-shots/2021/07/09/1014512213/covid-is-surging-in-new-hotspots-driven-by-low-vaccination-rates	NPR	46.41	-5.24	38,240,000	Left-Center	40	July 11, 2021			Very High		
Why were Colombian ex-soldiers in Haiti? Experts say they are popular mercenaries	https://www.reuters.com/world/americas/why-were-colombian-ex-soldiers-haiti-experts-say-they-are-popular-mercenaries-2021-07-09/	REUTERS	49.3	-1.65	40,574,000	Neutral	41	July 11, 2021			Very High		
U.S rebuffs Haiti troops request after president's assassination	https://www.reuters.com/world/americas/colombian-suspects-haiti-presidents-killing-arrived-via-dominican-republic-2021-07-09/	REUTERS	49.3	-1.65	40,574,000	Neutral	42	July 11, 2021			Very High		
Smaller cities jump in hot housing market	https://www.nbcnews.com/business/real-estate/where-do-you-move-after-selling-hot-market-smaller-city-n1273465	NBC News	45.81	-7.46	26,225,000	Left-Center	43	July 11, 2021			High		
Biden Targets Big Business in Sweeping Executive Order to Spur Competition	https://www.wsj.com/articles/biden-takes-aim-at-corporate-consolidation-big-business-tactics-11625832017	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	44	July 11, 2021			Mostly Factual		
Biden fires head of Social Security Administration, a Trump holdover who drew the ire of Democrats	https://www.washingtonpost.com/politics/andrew-saul-social-security-/2021/07/09/c18a34fa-df99-11eb-a501-0e69b5d012e5_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	45	July 11, 2021			Mostly Factual		
