Top Stories	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?		Factual Reporting		(probably not needed)
Texas Democrats find voting rights are a tough sell as Capitol Hill turns its focus to Biden's economic agenda	https://www.washingtonpost.com/politics/texas-democrats-find-voting-rights-are-a-tough-sell-as-capitol-hill-turns-its-focus-to-bidens-economic-agenda/2021/07/15/f881e386-e570-11eb-8aa5-5662858b696e_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	7	July 15, 2021	TRUE				
The Expanded Child Tax Credit Is Here. Here's What You Need To Know	https://www.npr.org/2021/07/15/1016122095/the-expanded-child-tax-credit-is-here-heres-what-you-need-to-know	NPR	46.41	-5.24	38,240,000	Left-Center	8	July 15, 2021	TRUE				
A 'stark warning': Parts of the Amazon rainforest release more carbon dioxide than they absorb	https://www.usatoday.com/story/news/world/2021/07/14/amazon-rainforest-areas-put-out-more-carbon-dioxide-than-they-absorb/7971749002/	USA Today	45.77	-4.12	44,075,000	Left-Center	9	July 15, 2021	TRUE				
Biden and Merkel reaffirm U.S.-German cooperation as her time on Europe’s center stage wanes	https://www.latimes.com/politics/story/2021-07-15/biden-meets-with-germanys-merkel-as-her-long-dominance-on-europes-stage-draws-to-an-end	Los Angeles Times				Left-Center	10	July 15, 2021	TRUE				
Senate nears pivotal vote on bipartisan infrastructure deal that’s still unwritten	https://www.politico.com/news/2021/07/15/bipartisan-infrastructure-drive-stalls-499751	Politico	43.35	-7.19	23,750,000	Left-Center	11	July 15, 2021	TRUE				
Western US and Canada brace for another heatwave amid more than 70 wildfires	https://www.theguardian.com/world/2021/jul/15/heatwave-us-west-canada-wildfires	The Guardian	44.42	-9.93	88,750,000	Left-Center	12	July 15, 2021	TRUE				
The Smoke Comes Every Year. Sugar Companies Say the Air Is Safe	https://projects.propublica.org/black-snow/	ProPublica				Left-Center	13	July 15, 2021	TRUE				
IRS begins sending monthly checks to millions of parents	https://www.washingtonpost.com/us-policy/2021/07/15/biden-child-tax-credit/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	14	July 15, 2021	TRUE				
Jury Finds Capital Gazette Gunman Responsible And Rejects His Mental Illness Plea	https://www.npr.org/2021/07/15/1015483036/jury-rejects-capital-gazette-gunmans-mental-illness-plea	NPR	46.41	-5.24	38,240,000	Left-Center	15	July 15, 2021	TRUE				
Making sense of the recent Covid-19 spike	https://www.vox.com/coronavirus-covid19/22576904/us-new-covid-cases-rising-again-delta-variant	Vox				Left	16	July 15, 2021	TRUE				
Fleeing high rents, he found a tiny town for his Burning Man dreams. Then came wildfire	https://www.latimes.com/california/story/2021-07-15/burning-man-apostle-moves-to-desert-town-hit-by-beckwourth-fire	Los Angeles Times				Left-Center	17	July 15, 2021	TRUE				
Jury finds gunman criminally responsible for killing 5 in Maryland newspaper shooting	https://thehill.com/homenews/state-watch/563253-jury-finds-gunman-criminally-responsible-for-killing-5-in-maryland	The Hill	44.99	-0.38	24,400,000	Neutral	18	July 15, 2021	TRUE				
The U.S. Surgeon General Is Calling COVID-19 Misinformation An 'Urgent Threat'	https://www.npr.org/sections/health-shots/2021/07/15/1016013826/the-u-s-surgeon-general-is-calling-covid-19-misinformation-an-urgent-threat	NPR	46.41	-5.24	38,240,000	Left-Center	19	July 15, 2021	TRUE				
1,300 people assumed missing in one German district after deadly floods	https://www.cnn.com/2021/07/15/europe/germany-deaths-severe-flooding-intl/index.html	CNN	43.77	-8.78	79,900,000	Left	20	July 15, 2021	TRUE				
There are people in the rubble yelling': 911 calls reveal panic, anguish at Surfside, Florida, condo collapse	https://www.usatoday.com/story/news/nation/2021/07/15/911-calls-florida-condo-building-collapse-reveal-panic-anguish/7975616002/	USA Today	45.77	-4.12	44,075,000	Left-Center	21	July 15, 2021	TRUE				
Exclusive: Stephen Breyer says he hasn't decided his retirement plans	https://www.cnn.com/2021/07/15/politics/stephen-breyer-retirement-plans/index.html	CNN politics	43.77	-8.78	79,900,000	Left	22	July 15, 2021	TRUE				
Your Child Tax Credit Payment Just Arrived. Are You Sure You Want It?	https://www.wsj.com/articles/child-tax-credit-payments-11626294557	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	23	July 15, 2021	TRUE				
At least 44 dead, dozens missing as floods sweep through western Europe	https://www.reuters.com/article/us-europe-weather/at-least-44-dead-dozens-missing-as-floods-sweep-through-western-europe-idUSKBN2EL27I	Reuters	49.3	-1.65	40,574,000	Neutral	24	July 15, 2021	TRUE				
Already burning, West set to sizzle in another heat wave	https://www.washingtonpost.com/weather/2021/07/06/california-west-heat-wave/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	25	July 15, 2021	TRUE				
Delta variant gains ground in US as outbreaks highlight vaccine divide	https://www.theguardian.com/us-news/2021/jul/14/us-delta-variant-coronavirus-covid-vaccine-divide	The Guardian	44.42	-9.93	88,750,000	Left-Center	26	July 15, 2021	TRUE				
In major steps, UCSF scientists translate unspoken words of paralyzed man into writing	https://www.sfchronicle.com/health/article/In-major-step-UCSF-scientists-translate-unspoken-16315132.php	San Francisco Chronicle				Left-Center	27	July 15, 2021	TRUE				
What’s in Democrats’ $3.5 Trillion Budget Plan—and How They Plan to Pay for It	https://www.wsj.com/articles/democrats-budget-plan-what-11626301275	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	28	July 15, 2021	FALSE				
Cuba's Internet returns, unveiling scenes of a crackdown	https://www.washingtonpost.com/world/2021/07/14/cuba-protests-internet/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	29	July 15, 2021	TRUE				
Britney Spears granted right to hire own lawyer, accuses father of 'conservatorship abuse'	https://www.nbcnews.com/pop-culture/pop-culture-news/britney-spears-wants-choose-her-own-attorney-she-may-find-n1273876	NBC News	45.81	-7.46	26,225,000	Left-Center	30	July 15, 2021	FALSE				
													
Biden calls court's DACA decision 'deeply dissapointing,' vows to appeal it	https://thehill.com/homenews/administration/563534-biden-calls-courts-daca-decision-deeply-disappointing-vows-to-appeal	The Hill	44.99	-0.38	24,400,000	Neutral	1	July 17, 2021	TRUE				
Three texas house democrats in Washingoton test positive for coronavirus	https://www.texastribune.org/2021/07/17/texas-democrats-coronavirus/	The Texas Tribune	45.9	-4.27		Left-Center	2	July 17, 2021	TRUE				
A beacon to the world': One year after John Lewis' death, Navy christens ship in his honor	https://www.usatoday.com/story/news/nation/2021/07/17/john-lewis-navy-christens-ship-legacy-good-trouble-remembered/8002122002/	USA Today	45.77	-4.12	44,075,000	Left-Center	3	July 17, 2021	TRUE				
The political turnoil in Haiti has deep historical roots	https://news.yahoo.com/the-political-turmoil-in-haiti-has-deep-historical-roots-205104263.html#:~:text=In%20recent%20years%2C%20Haiti%20has,of%20its%20government%2C%20Fatton%20said.	Yahoo! News				Left-Center	4	July 17, 2021	FALSE				
In a Belgian Ccity ravaged by flooding, the signs of disaster are everywhere	https://www.npr.org/2021/07/17/1017328519/europe-belgium-flooding-floods-liege	NPR	46.41	-5.24	38,240,000	Left-Center	5	July 17, 2021	TRUE				
Vienna is the new havana syndrome hot spot	https://www.newyorker.com/news/news-desk/vienna-is-the-new-havana-syndrome-hotspot	The New Yorker	40.13	-13.3	19,425,000	Left	6	July 17, 2021	FALSE				
Biden says US to appeal dreamers ruling and congress must act	https://www.bloomberg.com/news/articles/2021-07-16/u-s-judge-rules-daca-unconstitutional-halts-new-approvals	Bloomberg	45.76	-3.04	26,673,500	Left-Center	7	July 17, 2021	TRUE				
Missouri COVID-19 hospitalizations reach levels not seen since winter	https://www.stltoday.com/news/local/metro/missouri-covid-19-hospitalizations-reach-levels-not-seen-since-winter/article_5b13ac28-fdd7-519f-baa5-f311f21f9434.html	St. Louis Post-Dispatch				Left-Center	8	July 17, 2021	TRUE				
LaTanya Gordon lost two sons to gun violence in three months	https://time.com/5944949/gun-crime-shootings-police-unsolved-cases/	Time	44.02	-9.68	38,825,000	Left-Center	9	July 17, 2021	FALSE				
Europe floods: resucuers race to find survivors as hundreds remain missing	https://www.bbc.com/news/world-europe-57871308	BBC News	46.44	-2.74	189,750,000	Left-Center	10	July 17, 2021	TRUE				
First case of coronavirus in olympic village confirmed six days before opening ceremony	https://www.washingtonpost.com/sports/olympics/2021/07/17/first-covid-case-olympics/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	11	July 17, 2021	TRUE				
Covid-19 vaccines are effective at preventing severe disease, experts say	https://www.cnn.com/2021/07/17/health/us-coronavirus-saturday/index.html	CNN	43.77	-8.78	79,900,000	Left	12	July 17, 2021	TRUE				
Inside the nation's overdose crisis in prisons and jails	https://www.themarshallproject.org/2021/07/15/inside-the-nation-s-overdose-crisis-in-prisons-and-jails	The Marshall Project				Neutral	13	July 17, 2021	FALSE				
Federal judge finds DACA unlawful, blocks new applicants	https://www.politico.com/news/2021/07/16/texas-federal-judge-daca-applicants-499896	Politico	43.35	-7.19	23,750,000	Left-Center	14	July 17, 2021	FALSE				
Experts fear Germany's deadly floods are a glimpse into climate future	https://www.nationalgeographic.com/environment/article/experts-fear-germany-deadly-floods-glimpse-into-climate-future	National Geographic	46.11	-2.58		Pro-Science	15	July 17, 2021	FALSE				
Many jobs lost during the coronavirus pandemic just aren't coming back	https://www.wsj.com/articles/many-jobs-lost-during-the-coronavirus-pandemic-just-arent-coming-back-11626341401	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	16	July 17, 2021	FALSE				
Covid-19 is becoming a pandemic of the unvaccinated, CDC director says	https://www.cnn.com/us/live-news/coronavirus-pandemic-vaccine-updates-08-02-21/h_4258aa07cbf2206435b5f84328ddab33	CNN	43.77	-8.78	79,900,000	Left	17	July 17, 2021	TRUE				
Biz Markie, just a friend rapper and beatbox pioneer, dies at 57	https://www.hollywoodreporter.com/news/music-news/biz-markie-dead-at-57-1234976433/	The Hollywood Reporter				Left-Center	18	July 17, 2021	TRUE				
US covid deaths are rising again. Experts call it a pandemic of the unvaccinated	https://www.npr.org/2021/07/16/1017002907/u-s-covid-deaths-are-rising-again-experts-call-it-a-pandemic-of-the-unvaccinated	NPR	46.41	-5.24	38,240,000	Left-Center	19	July 17, 2021	TRUE				
Federal judge declares DACA program illegal, but halts only new application	https://www.nbcnews.com/politics/immigration/federal-judge-declares-daca-program-illegal-halts-only-new-applications-n1274247	NBC News	45.81	-7.46	26,225,000	Left-Center	20	July 17, 2021	FALSE				
Theyre killing people: Biden blames social media for covid-19 vaccine misinformation 	https://www.latimes.com/politics/story/2021-07-16/delta-variant-sets-back-bidens-progress-against-covid-19-risks-economic-revival	Los Angeles Times				Left-Center	21	July 17, 2021	FALSE				
The assassination of Haiti's leader remains shrouded in mystery: we may never know	https://www.theguardian.com/world/2021/jul/16/haiti-jovenel-moise-assassination-mystery-latest	The Guardian	44.42	-9.93	88,750,000	Left-Center	22	July 17, 2021	FALSE				
We have nothing: grief, shock and resilience along the flood-ravaged banks of a German river 	https://www.washingtonpost.com/world/europe/germany-floods-scene-destruction/2021/07/16/3129dd1c-e5a1-11eb-88c5-4fd6382c47cb_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	23	July 17, 2021	TRUE				
Biden blasts COVID-19 Vaccine Misinformation on Social Media	https://www.wsj.com/articles/biden-blasts-covid-19-vaccine-misinformation-on-social-media-11626464163	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	24	July 17, 2021	FALSE				
The largest wildfire in the US has grown about 1000 acres every hour	https://californianewstimes.com/the-largest-wildfire-in-the-us-is-growing-about-1000-acres-per-hour/443033/	CNN	43.77	-8.78	79,900,000	Left	25	July 17, 2021	FALSE				
Delta is driving a wedge throught Missouri	https://www.theatlantic.com/health/archive/2021/07/delta-missouri-pandemic-surge/619456/	The Atlantic	40.14	-9.52	16,075,000	Left-Center	26	July 17, 2021	FALSE				
Border patrol arrests hit a 20 year high last month -- but migration isn't neccesarily struglling	https://www.forbes.com/sites/joewalsh/2021/07/16/border-patrol-arrests-hit-a-20-year-high-last-month---but-migration-isnt-necessarily-surging-heres-why/?sh=27eca21870b2	Forbes				Right-Center	27	July 17, 2021	FALSE				
Judge orders US to close DACA program to new applicants	https://www.cbsnews.com/news/daca-judge-orders-u-s-to-close-program-for-dreamers-calling-it-illegal/	CBS News	48.04	-3.14	24,400,000	Left-Center	28	July 17, 2021	TRUE				
European officals say climate change has arrived as deadly floods engulf entire towns	https://www.cnn.com/2021/07/16/europe/germany-floods-belgium-climate-change-grm-intl/index.html	CNN	43.77	-8.78	79,900,000	Left	29	July 17, 2021	FALSE				
US - Mexico border apprehensions for the fiscal year surpassed 1 million in June	https://www.washingtonpost.com/immigration/border-arrests-june-mexico/2021/07/16/0e2aa4d8-e3dd-11eb-8aa5-5662858b696e_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	30	July 17, 2021	TRUE				
													
Coco Gauff tests positive for COVID-19, out of Tokyo Olympics	https://www.nbcnews.com/news/sports/teen-tennis-star-coco-gauff-tests-positive-covid-will-sit-n1274319	NBC Sports				Left Center	1	July 18, 2021	TRUE				
Massive Sugar fire and two other blazes sweep Northern California, fed by dry, gusty conditions	https://www.latimes.com/california/story/2021-07-18/megafire-and-two-other-blazes-sweep-northern-california-fed-by-dry-gusty-conditions	Los Angeles Times				Left Center	2	July 18, 2021	TRUE				
He Left Me All Alone In The World': India's COVID Widows Struggle To Survive	https://www.npr.org/sections/goatsandsoda/2021/07/18/1016371045/he-left-me-all-alone-in-the-world-indias-covid-widows-struggle-to-survive	NPR	46.41	-5.24	38,240,000	Left-Center	3	July 18, 2021	TRUE				
Everyone on Death Row Gets a Lawyer. Not Everyone Gets a Kim Kardashian.	https://www.themarshallproject.org/2021/07/16/everyone-on-death-row-gets-a-lawyer-not-everyone-gets-a-kim-kardashian	The Marshall Project				Neutral	4	July 18, 2021	FALSE				
Indonesia is battling a devestating Covid-19 crisis. And its peak is likely still to come	https://www.cnn.com/2021/07/17/asia/indonesia-covid-second-wave-outbreak-intl-hnk-dst/index.html	CNN	43.77	-8.78	79,900,000	Left	5	July 18, 2021	TRUE				
Private Israeli spyware used to hack cellphones of journalists, activists worldwide	https://www.npr.org/2021/07/19/1017774097/private-spyware-was-used-to-hack-cellphones-of-journalists-activists-worldwide	The Washington Post	44.05	-7.42	76,195,000	Left-Center	6	July 18, 2021	TRUE				
COVID-related problems mount as athletes and officials arrive for Tokyo Olympics	https://www.wsj.com/articles/tokyo-olympics-covid-testing-athletes-officials-11626626865	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	7	July 18, 2021	TRUE				
The Open 2021: Collin Morikawa wins the 149th Open Championship	https://www.golfdigest.com/story/morikawa-spieth-open-2021	Golf Digest				Unknown	8	July 18, 2021	TRUE				
What the megadrought means to the American West	https://www.cbsnews.com/news/what-the-megadrought-means-to-the-american-west/	CBS News	48.04	-3.14	24,400,000	Left-Center	9	July 18, 2021	TRUE				
Here's why we call this time of year the 'dog days' of summer	https://www.farmersalmanac.com/why-are-they-called-dog-days-of-summer-21705	National Geographic	46.11	-2.58		Pro-Science	10	July 18, 2021	FALSE				
Unvaccinated Americans Are Behind Rising Covid-19 Hospitalizations	https://www.wsj.com/articles/unvaccinated-covid-19-hospitalizations-11626528110	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	11	July 18, 2021	TRUE				
Two South African soccer players 1st athletes residing in Tokyo Olympic Village to test positive for COVID-19	https://www.espn.com/olympics/story/_/id/31835854/two-athletes-residing-tokyo-olympic-village-test-positive-covid-19	ESPN				Left-Center	12	July 18, 2021	TRUE				
Enormous scale of destruction is reveled as water subsides after historic western Europe flooding	https://www.cnn.com/2021/07/18/europe/western-europe-floods-sunday-intl/index.html	CNN	43.77	-8.78	79,900,000	Left	13	July 18, 2021	TRUE				
The Smoke Comes Every Year. Sugar Companies Say the Air Is Safe	https://projects.propublica.org/black-snow/	Pro Publica				Left-Center	14	July 18, 2021	TRUE				
How to stay safe as covid-19 cases from the delta variant are on the rise	https://www.washingtonpost.com/lifestyle/2021/08/02/covid-mask-guidelines-faq/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	15	July 18, 2021	TRUE				
Germany knew the floods were coming, but the warnings didn't work	https://www.thetimes.co.uk/article/germany-knew-the-floods-were-coming-but-the-warnings-didnt-work-cn99wjxzs	The Times and The Sunday Times				Right-Center	16	July 18, 2021	FALSE				
Padres-Nationals game halted after shooting outside stadium	https://www.sandiegouniontribune.com/sports/padres/story/2021-07-17/padres-nationals-shooting-stadium-outside	The San Diego Union-Tribune				Neutral	17	July 18, 2021	TRUE				
First Covid-19 Infections Among Athletes in Olympic Village Are Confirmed	https://www.wsj.com/articles/first-covid-19-infections-among-athletes-in-olympic-village-are-confirmed-11626581622#:~:text=TOKYO%E2%80%94Two%20athletes%20staying%20at,the%20organizers%20said%20on%20Sunday.	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	18	July 18, 2021	TRUE				
A federal judge just declared DACA unlawful. Here's what that means.	https://www.vox.com/2021/7/17/22581276/federal-judge-andrew-hanen-daca-ruling	Vox	39.97	-11.26	13,948,400	Left	19	July 18, 2021	FALSE				
Cubans' calls for political change grow louder than ever: 'Not about the embargo'	https://www.yahoo.com/entertainment/freedom-cuban-americans-shortages-dont-100015240.html	NBC News	45.81	-7.46	26,225,000	Left Center	20	July 18, 2021	FALSE				
The delta varient is ravaging this Missouri city. Many residents are still wary of vaccines.	https://www.washingtonpost.com/health/2021/07/15/springfield-missouri-delta-outbreak/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	21	July 18, 2021	FALSE				
1 year after death of John Lewis, voting rights remain key issue	https://abcnews.go.com/Politics/year-death-john-lewis-voting-rights-remain-key/story?id=78902202	ABC News	47.28	-4.9	39,500,000	Left-Center	22	July 18, 2021	FALSE				
One Of The Deadliest U.S. Accidental Structural Collapses Happened 40 Years Ago Today	https://www.npr.org/2021/07/17/1016603199/one-of-the-deadliest-u-s-accidental-structural-collapses-happened-40-years-ago-t#:~:text=One%20Of%20The%20Deadliest%20U.S.%20Accidental%20Structural%20Collapses%20Happened%2040%20Years%20Ago%20Today&text=Archive%2FGetty%20Images-,Firefighters%20rescue%20people%20from%20under%20a%20collapsed%20walkway%20in%20the,and%20injured%20more%20than%20200.&text=It%20was%20another%20summer%20night%20in%201981.	NPR	46.41	-5.24	38,240,000	Left-Center	23	July 18, 2021	FALSE				
How climate change fueled the devestating floods in Germany and northwest Europe	https://www.vox.com/22577431/germany-flooding-europe-climate-change	Vox				Left	24	July 18, 2021	FALSE				
Biden calls court's DACA decision 'deeply disappointing,' vows to appeal it	https://thehill.com/homenews/administration/563534-biden-calls-courts-daca-decision-deeply-disappointing-vows-to-appeal	The Hill	44.99	-0.38	24,400,000	Neutral	25	July 18, 2021	FALSE				
Five Texas House Democrats in Washington test positive for coronavirus	https://www.texastribune.org/2021/07/17/texas-democrats-coronavirus/	The Texas Tribune	45.9	-4.27		Left-Center	26	July 18, 2021	TRUE				
A beacon to the world': One year after John Lewis' death, Navy christens ship in his honor	https://www.usatoday.com/story/news/nation/2021/07/17/john-lewis-navy-christens-ship-legacy-good-trouble-remembered/8002122002/	USA TODAY				Left-Center	27	July 18, 2021	FALSE				
The political turmoil in Haiti has deep historical roots	https://news.yahoo.com/the-political-turmoil-in-haiti-has-deep-historical-roots-205104263.html	Yahoo! News				Left-Center	28	July 18, 2021	FALSE				
In A Belgian City Ravaged By Flooding, The Signs Of Disaster Are Everywhere	https://www.npr.org/2021/07/17/1017328519/europe-belgium-flooding-floods-liege	NPR	46.41	-5.24	38,240,000	Left-Center	29	July 18, 2021	FALSE				
Vienna Is The New Havana Syndrome Hot Spot	https://www.newyorker.com/news/news-desk/vienna-is-the-new-havana-syndrome-hotspot	The New Yorker	40.13	-13.3	19,425,000	Left	30	July 18, 2021	FALSE				
													
													
Still looking for answers': South Africa reels from deadly riots	https://www.aljazeera.com/news/2021/7/19/still-looking-for-answers-south-africa-reels-from-deadly-riots	Al Jazeera				Left-Center	1	July 19, 2021	TRUE				
Indiana University's vaccine requirement should stand, federal judge rules	https://www.npr.org/2021/07/19/1018010489/indiana-universitys-vaccine-requirement-should-stand-federal-judge-rules	NPR	46.41	-5.24	38,240,000	Left-Center	2	July 19, 2021	TRUE				
Mask mandates make a return - along with controversy	https://www.washingtonpost.com/health/2021/07/19/mask-mandates-returning/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	3	July 19, 2021	TRUE				
Sprawling Oregon blaze expands, while firefighters gain ground	https://www.reuters.com/world/us/massive-oregon-wildfire-grows-worse-forcing-more-residents-flee-2021-07-19/	Reuters	49.3	-1.65	40,574,000	Neutral	4	July 19, 2021	TRUE				
COVID-19 worries ripple through markets	https://www.wsj.com/articles/how-jitters-about-the-global-economy-are-rippling-through-markets-11626730635	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	5	July 19, 2021	TRUE				
Wind and lightning complicate Bootleg fire as 80 blazes burn across 13 states	https://www.theguardian.com/us-news/2021/jul/19/oregon-bootleg-fire-latest-news-largest-us	The Guardian	44.42	-9.93	88,750,000	Left-Center	6	July 19, 2021	TRUE				
Infrastructure deal in precarious state as endgame nears	https://www.washingtonpost.com/politics/biden-infrastructure-deal-peril/2021/07/19/8e5478be-e8a1-11eb-97a0-a09d10181e36_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	7	July 19, 2021	TRUE				
Peru socialist Castillo confirmed president after lengthy battle over results	https://www.reuters.com/world/americas/perus-fujimori-admits-defeat-presidential-election-lashes-out-socialist-rival-2021-07-19/	Reuters	49.3	-1.65	40,574,000	Neutral	8	July 19, 2021	TRUE				
Delta Variant Helps Push Covid-19 Cases Higher In Every State	https://www.wsj.com/articles/delta-variant-helps-push-covid-19-cases-higher-in-every-state-11626733436	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	9	July 19, 2021	TRUE				
Only nature, through significant rain or snow, can extinguish huge Oregon fire, official says	https://www.washingtonpost.com/nation/2021/07/19/bootleg-fire-weather-event/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	10	July 19, 2021	TRUE				
State Department raises travel advisory for the UK to its highest level as Covid-19 cases rise	https://www.cnn.com/2021/07/19/politics/state-department-uk-covid-travel-advisory-level/index.html	CNN	43.77	-8.78	79,900,000	Left	11	July 19, 2021	TRUE				
This is who I am': Predators prospect Luke Prokop comes out	https://theathletic.com/2711747/2021/07/19/luke-prokop/	The Athletic				Unknown	12	July 19, 2021	TRUE				
U.S. issues 'Do Not Travel' advisory for UK over COVID-19	https://www.reuters.com/business/healthcare-pharmaceuticals/us-cdc-raises-covid-warning-travelers-united-kingdom-2021-07-19/	Reuters	49.3	-1.65	40,574,000	Neutral	13	July 19, 2021	TRUE				
Dow futures drop more than 100 points after major averages post first negative week in four	https://www.cnbc.com/2021/07/18/stock-market-futures-open-to-close-news.html	CNBC	45.45	-2.05	27,050,000	Left-Center	14	July 19, 2021	FALSE				
Nashville Predators prospect Luke Prokop says he is gay, hopes living 'authentic life' helps NHL career	https://www.espn.com/nhl/story/_/id/31843069/nashville-predators-prospect-luke-prokop-says-gay-hopes-living-authentic-life-helps-nhl-career	ESPN				Left-Center	15	July 19, 2021	TRUE				
It's Not a Border Crisis. It's a Climate Crisis.	https://www.politico.com/news/magazine/2021/07/19/guatemala-immigration-climate-change-499281	Politico	43.35	-7.19	23,750,000	Left-Center	16	July 19, 2021	TRUE				
Fires in Oregon, California Grow as Heat Wave Continues in Parts of West	https://www.wsj.com/articles/fires-in-oregon-california-grow-as-heat-wave-continues-in-parts-of-west-11626705287	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	17	July 19, 2021	TRUE				
In the fracturing American economy, any house can inspire a bidding war	https://www.washingtonpost.com/nation/2021/07/18/idaho-housing-market/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	18	July 19, 2021	TRUE				
How Delta is pushing the U.S. into a new phase of the Covid-19 pandemic	https://www.statnews.com/2021/07/19/delta-vaccines-new-phase-pandemic/	STAT	44.86	-2.7		Left-Center	19	July 19, 2021	TRUE				
Canada to reopen its border for fully vaccinated Americans starting Aug. 9; U.S. uncertain	https://www.bellinghamherald.com/news/nation-world/national/article252880638.html	The Bellingham Herald				Left-Center	20	July 19, 2021	TRUE				
Biden recasts criticism of Facebook over vaccine misinformation	https://www.politico.com/news/2021/07/19/biden-facebook-vaccine-misinformation-500148	Politico	43.35	-7.19	23,750,000	Left-Center	21	July 19, 2021	TRUE				
US blames China for hacks, opening new front in cyber offensive	https://www.cnn.com/2021/07/19/politics/us-china-cyber-offensive/index.html	CNN	43.77	-8.78	79,900,000	Left	22	July 19, 2021	TRUE				
Florida man gets 9 months in prison in 1st felony sentence from Capitol riot	https://www.nbcnews.com/politics/justice-department/florida-man-gets-1st-felony-sentence-role-capitol-riot-n1274353	NBC News	45.81	-7.46	26,225,000	Left Center	23	July 19, 2021	TRUE				
Dow Falls More Than 700 Points in Worst Day Since October	https://www.wsj.com/articles/global-stock-markets-dow-update-07-19-2021-11626680342	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	24	July 19, 2021	TRUE				
Alternate on US women's gymnastics team tests positive for COVID-19	https://www.usatoday.com/story/sports/olympics/2021/07/19/us-womens-gymnastics-team-alternate-tests-positive-covid-19/8010523002/	USA Today	45.77	-4.12	44,075,000	Left-Center	25	July 19, 2021	TRUE				
Haiti's acting prime minister Claude Joseph says he will step down amid leadership dispute	https://www.washingtonpost.com/world/2021/07/19/haiti-claude-joseph-ariel-henry/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	26	July 19, 2021	TRUE				
U.S. Attorney General issues broad ban against seizing media records	https://www.reuters.com/business/media-telecom/us-attorney-general-issues-broad-ban-against-seizing-media-records-2021-07-19/	Reuters	49.3	-1.65	40,574,000	Neutral	27	July 19, 2021	TRUE				
To Flee, or to Stay Until the End and Be Swallowed by the Sea	https://insideclimatenews.org/news/18072021/to-flee-or-to-stay-until-the-end-and-be-swallowed-by-the-sea/	Inside Climate News				Left-Center	28	July 19, 2021	TRUE				
Biden Administration Blames Hackers Tied to China for Microsoft Cyberattack Spree	https://www.wsj.com/articles/biden-administration-to-blame-hackers-tied-to-china-for-microsoft-cyberattack-spree-11626692401	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	29	July 19, 2021	TRUE				
Statistics show the stark risks of not getting vaccinated against COVID-19	https://abcnews.go.com/Health/statistics-show-risks-vaccinated-covid-19/story?id=78845627	ABC News				Left-Center	30	July 19, 2021	TRUE				
													
Bucks finish off Suns for first NBA championship in 50 years behind Giannis Antetokounmpo's epic closeout performance	https://sports.yahoo.com/bucks-finish-off-suns-first-034424913.html	USA Today	45.77	-4.12	44,075,000	Left-Center	1	July 20, 2021	TRUE				
USWNT kicks off Olympics run vs. Sweden: Preview, start time, how to watch	https://www.nbcolympics.com/news/uswnt-kicks-olympics-run-vs-sweden-preview-start-time-how-watch	NBC Sports				Left-Center	2	July 20, 2021	TRUE				
Western wildfire smoke causes cross-country air pollution	https://www.reuters.com/world/us/smoke-us-west-wildfires-leaves-easterners-gasping-2021-07-20/	Reuters	49.3	-1.65	40,574,000	Neutral	3	July 20, 2021	TRUE				
Giannis Antetokounmpo scores 50 points in Game 6 of NBA Finals, Milwaukee Bucks win club's 1st NBA title since 1971\n	https://www.espn.com/nba/story/_/id/31851979/giannis-antetokounmpo-scores-50-points-game-6-nba-finals-milwaukee-bucks-win-club-1st-nba-title-1971	ESPN				Left-Center	4	July 20, 2021	TRUE				
Trump adviser Tom Barrack arrested on foreign-agent charges	https://www.politico.com/news/2021/07/20/tom-barrack-arrested-foreign-agent-charges-500333	Politico	43.35	-7.19	23,750,000	Left-Center	5	July 20, 2021	TRUE				
