Headline	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 Hours?	Bipartisan Press Bias
Four Iranians charged with plotting to kidnap author living in Brooklyn	https://news.google.com/articles/CAIiELkQGGe_nAnaCWEijJ2sVzYqGQgEKhAIACoHCAowvIaCCzDnxf4CMM2F8gU?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	NBC News				Left-Center	4.0	July 13, 2021	True	-1.832332
More than 70 killed in South Africa protests after former leader Jacob Zuma is jailed	https://news.google.com/articles/CAIiEM3_Kfo7zFp0OaXbGQ2POpcqMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIwpfTQBg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	CNN				Left	5.0	July 13, 2021	True	BADLINK
Demonstrators calling for change in Cuba shut down traffic on I-95	https://news.google.com/articles/CAIiEG7t_DeMEtlMuY4gnIfu_iQqGQgEKhAIACoHCAown8D-CjDWzvYCMOqf3gU?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	WJXT News4JAX				Unknown	6.0	July 13, 2021	True	3.337072
Covid outbreak among vaccinated Vegas hospital workers underscores Delta risks	https://news.google.com/articles/CAIiEEVVI0G7Jd6Ipx8amM05s-YqFwgEKg4IACoGCAowl6p7MN-zCTClss0G?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Guardian				Left-Center	7.0	July 13, 2021	True	-4.314644
Larry Elder enters California recall election to bump Gov. Newsom; Leo Terrell backs him as ‘best candidate’	https://news.google.com/articles/CBMihgFodHRwczovL3d3dy5mb3huZXdzLmNvbS9tZWRpYS9sYXJyeS1lbGRlci1lbnRlcnMtY2FsaWZvcm5pYS1yZWNhbGwtZWxlY3Rpb24tdG8tYnVtcC1nb3YtbmV3c29tLWxlby10ZXJyZWxsLWJhY2tzLWhpbS1hcy1iZXN0LWNhbmRpZGF0ZdIBigFodHRwczovL3d3dy5mb3huZXdzLmNvbS9tZWRpYS9sYXJyeS1lbGRlci1lbnRlcnMtY2FsaWZvcm5pYS1yZWNhbGwtZWxlY3Rpb24tdG8tYnVtcC1nb3YtbmV3c29tLWxlby10ZXJyZWxsLWJhY2tzLWhpbS1hcy1iZXN0LWNhbmRpZGF0ZS5hbXA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Fox News				Right	8.0	July 13, 2021	True	8.655094
Biden nominates ex-GOP Sen. Jeff Flake as ambassador to Turkey	https://news.google.com/articles/CAIiEFCSYhsWikW3vFoIMCzj44kqGQgEKhAIACoHCAow4Zn5CjCu8uACMLTRlgY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	POLITICO				Left-Center	9.0	July 13, 2021	True	-5.363455
Top Tennessee health official says she was fired after efforts to get teens vaccinated	https://news.google.com/articles/CBMibGh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvdXMtbmV3cy90b3AtdGVubmVzc2VlLWhlYWx0aC1vZmZpY2lhbC1zYXlzLXNoZS13YXMtZmlyZWQtYWZ0ZXItZWZmb3J0cy1uMTI3Mzg4N9IBLGh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvYW1wL25jbmExMjczODg3?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	NBC News				Left-Center	10.0	July 13, 2021	True	-2.586529
Trump's associates believe he's 'off his rocker,' Michael Wolff says	https://news.google.com/articles/CAIiEENvvdTb53TGIgr4RZN1IggqLggEKiUIACIbd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vc2FpKgQICjAMMJzw5wE?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Business Insider				Left-Center	11.0	July 13, 2021	True	-11.844247
Florida Gov. DeSantis sells anti-Fauci merchandise as doctor draws Republican ire	https://news.google.com/articles/CAIiEJgmRDJF_Dwg5YryVWaCX70qGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Washington Post				Left-Center	12.0	July 13, 2021	True	CONSENT
Cuba, Haiti stir fresh political pressures for US president	https://news.google.com/articles/CBMifmh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2pvZS1iaWRlbi1oZWFsdGgtZ292ZXJubWVudC1hbmQtcG9saXRpY3MtY3ViYS1jb3JvbmF2aXJ1cy1wYW5kZW1pYy05ZDJmYWJiYWQ4YzVkMTJlZGZhNGZlNWNkNGY0ZjFhN9IBAA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Associated Press				Neutral	13.0	July 13, 2021	True	-1.147532
More than 60 wildfires rage across US west – including blaze bigger than Portland	https://news.google.com/articles/CAIiEAZeMb-MuVLCLJYzcmNvd9EqFggEKg4IACoGCAowl6p7MN-zCTCtvxU?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Guardian				Left-Center	14.0	July 13, 2021	True	-5.670917
Route 66 summer festival in Missouri canceled due to COVID-19 surge	https://news.google.com/articles/CBMiYGh0dHBzOi8vYWJjbmV3cy5nby5jb20vVVMvcm91dGUtNjYtc3VtbWVyLWZlc3RpdmFsLW1pc3NvdXJpLWNhbmNlbGVkLWR1ZS1jb3ZpZC9zdG9yeT9pZD03ODgxNjIyONIBZGh0dHBzOi8vYWJjbmV3cy5nby5jb20vYW1wL1VTL3JvdXRlLTY2LXN1bW1lci1mZXN0aXZhbC1taXNzb3VyaS1jYW5jZWxlZC1kdWUtY292aWQvc3Rvcnk_aWQ9Nzg4MTYyMjg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	ABC News				Left-Center	15.0	July 13, 2021	True	-1.223489
Search ends in Chinese hotel collapse that killed 17 people	https://news.google.com/articles/CBMiQWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2NoaW5hLWVhYzUyNGM0Y2IwNmE5ZGZiNTFiZjNkNTQzYmE3OTlh0gEA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Associated Press				Neutral	16.0	July 13, 2021	True	-0.33358
Suspect in Haitian president's assassination worked as confidential DEA source	https://news.google.com/articles/CAIiEA4sJNGIKPgbi7enM0iaD7gqGQgEKhAIACoHCAow2Nb3CjDivdcCMKuvhQY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	CNBC				Left-Center	17.0	July 13, 2021	True	-2.074797
Problematic pool deck at collapsed Florida building flagged 25 years ago	https://news.google.com/articles/CAIiENYh7qwx87I1l6TUrkYyeDwqGAgEKg8IACoHCAowhK-LAjD4ySww69W0BQ?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	New York Post				Right-Center	18.0	July 13, 2021	True	1.198349
California changes course on schools having to enforce mask mandate	https://news.google.com/articles/CAIiEDcuFpnt3aUOZL4ckzNYV2YqGAgEKg8IACoHCAow2sz-ATDajxcw8cyYBg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	KCRA Sacramento				Neutral	19.0	July 13, 2021	True	-1.326283
Feds arrest 5 family members from Texas in new US Capitol riot case	https://news.google.com/articles/CAIiEHWt26dFEvycwKH5IjNaFREqMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIwpvTQBg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	CNN				Left	20.0	July 13, 2021	True	BADLINK
Key facts about state Rep. John Thompson’s residency issues	https://news.google.com/articles/CBMiYmh0dHBzOi8vd3d3Lm1wcm5ld3Mub3JnL3N0b3J5LzIwMjEvMDcvMTMva2V5LWZhY3RzLWFib3V0LXN0YXRlLXJlcC1qb2huLXRob21wc29ucy1yZXNpZGVuY3ktaXNzdWVz0gFmaHR0cHM6Ly93d3cubXBybmV3cy5vcmcvYW1wL3N0b3J5LzIwMjEvMDcvMTMva2V5LWZhY3RzLWFib3V0LXN0YXRlLXJlcC1qb2huLXRob21wc29ucy1yZXNpZGVuY3ktaXNzdWVz?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Minnesota Public Radio News				Left-Center	21.0	July 13, 2021	True	-2.098497
Almost half of this capital city's population may have contracted Covid-19, survey finds	https://news.google.com/articles/CAIiEB8GFVBTfQskVySKjH0ax2EqMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIw1anKBg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	CNN				Left	22.0	July 13, 2021	True	BADLINK
Robust line of storms could pound Michigan in 48 hours	https://news.google.com/articles/CAIiEKyvQCqO6pW-ZaPSCnLf42YqGQgEKhAIACoHCAow_qT_CjDltPgCMILcpAY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	MLive.com				Neutral	23.0	July 13, 2021	True	4.513235
EXCLUSIVE: Golf course shooting suspect knew 2 of the victims, friend says	https://news.google.com/articles/CBMic2h0dHBzOi8vd3d3LmFqYy5jb20vbmV3cy9nb2xmLWNvdXJzZS1zaG9vdGluZy1zdXNwZWN0LWtuZXctMi1vZi10aGUtdmljdGltcy1mcmllbmQtc2F5cy9SWDZEVjVTRkFCSFNWSEdHUUFRSU1YWFVQWS_SAYIBaHR0cHM6Ly93d3cuYWpjLmNvbS9uZXdzL2dvbGYtY291cnNlLXNob290aW5nLXN1c3BlY3Qta25ldy0yLW9mLXRoZS12aWN0aW1zLWZyaWVuZC1zYXlzL1JYNkRWNVNGQUJIU1ZIR0dRQVFJTVhYVVBZLz9vdXRwdXRUeXBlPWFtcA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Atlanta Journal Constitution				Left-Center	24.0	July 13, 2021	True	0.959534
Search halted after diver's gear found with damage indicating 'marine predator' encounter	https://news.google.com/articles/CAIiEM-AmeUkFpgHpszEZSYiTAkqGQgEKhAIACoHCAown8D-CjDWzvYCMOqf3gU?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	WJXT News4JAX				Unknown	25.0	July 13, 2021	True	1.734719
Hacking group behind widespread ransomware attacks disappears online	https://news.google.com/articles/CAIiECbo2-qA0AoVj28alUJcLDoqGAgEKg8IACoHCAowjtSUCjC30XQw78SzBg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Washington Post				Left-Center	26.0	July 13, 2021	True	1.849497
Vice President Harris Hints That She Has Discussed Filibuster Changes With Senators	https://news.google.com/articles/CAIiECYG6svM50kPUbN3PkK1dtMqFwgEKg4IACoGCAow9vBNMK3UCDClvJYH?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	NPR				Left-Center	27.0	July 13, 2021	True	-3.203825
Olivia Rodrigo to meet with Biden, Fauci to promote vaccines	https://news.google.com/articles/CAIiEF15tmYy7d5m2V7y8UHHrpAqGQgEKhAIACoHCAownvOTCzCHjqkDMLa6lAc?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Yahoo News				Left-Center	28.0	July 13, 2021	True	0.706802
Police scale back search for missing Berkeley runner, saying he’s incapacitated or not in the area	https://news.google.com/articles/CAIiEEoKvi_gG2tliH_wFLprXvcqGQgEKhAIACoHCAowk-T4CjDyst8CMPiZsgU?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	San Francisco Chronicle				Left-Center	29.0	July 13, 2021	True	0.069986
IRS to send another 4 million tax refunds to people who overpaid on unemployment	https://news.google.com/articles/CAIiEDi-RpkV2TY0aGunrSdcBE8qGQgEKhAIACoHCAowyNj6CjDyiPICMJyFxQU?hl=en-US&gl=US&ceid=US%3Aen	CBS News				Left-Center	30.0	July 13, 2021	True	-1.353785
										ERROR
Democrats Call for a Tax on Imports From Polluting Countries	https://news.google.com/articles/CAIiEHCTRsgnRs1w4B4dSPEMyfcqFwgEKg8IACoHCAowjuuKAzCWrzwwxoIY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The New York Times				Left-Center	1.0	July 14, 2021	True	-3.395325
Liberals fuming after DeSantis website sells beer koozies saying 'Don't Fauci my Florida'	https://news.google.com/articles/CAIiECJAeA-LKvuk8BWvWb-SutkqGQgEKhAIACoHCAowwL2ICzCckocDMMaPqQY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Fox News				Right	2.0	July 14, 2021	True	15.084812
Top generals feared Trump would attempt coup after election and had informal plan to stop it: book | TheHill	https://news.google.com/articles/CBMidmh0dHBzOi8vdGhlaGlsbC5jb20vcG9saWN5L2RlZmVuc2UvNTYzMTE3LXRvcC1nZW5lcmFscy1mZWFyZWQtdHJ1bXAtd291bGQtYXR0ZW1wdC1jb3VwLWFmdGVyLWVsZWN0aW9uLWFuZC1oYWQtaW5mb3JtYWzSAXpodHRwczovL3RoZWhpbGwuY29tL3BvbGljeS9kZWZlbnNlLzU2MzExNy10b3AtZ2VuZXJhbHMtZmVhcmVkLXRydW1wLXdvdWxkLWF0dGVtcHQtY291cC1hZnRlci1lbGVjdGlvbi1hbmQtaGFkLWluZm9ybWFsP2FtcA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Hill				Neutral	3.0	July 14, 2021	True	-6.721596
Surfside building collapse: Victims' relatives react to judge allowing process to sell property	https://news.google.com/articles/CAIiEIfpMk75gOtuUKzrdEiOGsUqGQgEKhAIACoHCAowntT-CjDj_fYCMNm03gU?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	WPLG Local 10				Unknown	4.0	July 14, 2021	True	-2.674562
6 dead, many missing in Germany floods	https://news.google.com/articles/CBMiaGh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2V1cm9wZS1lbnZpcm9ubWVudC1hbmQtbmF0dXJlLWdlcm1hbnktZmxvb2RzLTQ0NDk4YTk4OTllMWE3NTkyOWY4ZGU5ZTNkZjA3ODc00gEA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Associated Press				Neutral	5.0	July 14, 2021	True	0.426338
Rents Are Out Of Reach For Most Americans Earning Minimum Wage, A Study Says	https://news.google.com/articles/CAIiEA0hNcKUDSByiYh0mK7xgtUqFwgEKg4IACoGCAow9vBNMK3UCDCkvJYH?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	NPR				Left-Center	6.0	July 14, 2021	True	-4.602955
Merkel makes last visit as chancellor to White House	https://news.google.com/articles/CAIiEERj00Jbgrx4y_5qcDM6UFkqGAgEKg8IACoHCAowjtSUCjC30XQwpo69Bg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Washington Post				Left-Center	7.0	July 14, 2021	True	CONSENT
Brazil's President Bolsonaro Is Hospitalized With Intestinal Blockage	https://news.google.com/articles/CAIiEKsmy5X12yzI9u_hYP1B2R8qFwgEKg4IACoGCAow9vBNMK3UCDCFpJYH?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	NPR				Left-Center	8.0	July 14, 2021	True	-1.524971
Judge denies motion to add rape charges to criminal complaint against Paul Flores	https://news.google.com/articles/CBMifmh0dHBzOi8vd3d3LmtzYnkuY29tL25ld3Mva3Jpc3Rpbi1zbWFydC1jYXNlL2p1ZGdlLWRlbmllcy1tb3Rpb24tdG8tYWRkLXJhcGUtY2hhcmdlcy10by1jcmltaW5hbC1jb21wbGFpbnQtYWdhaW5zdC1wYXVsLWZsb3Jlc9IBAA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	KSBY San Luis Obispo News				Unknown	9.0	July 14, 2021	True	4.065604
Head of security at Haiti's presidential residence in police custody	https://news.google.com/articles/CAIiEOJMBzZcNouPgMN8evk90kIqMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIw1anKBg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	CNN				Left	10.0	July 14, 2021	True	BADLINK
Macron to the French: Vaccinate or Else	https://news.google.com/articles/CAIiEPfby7MTou1qHsNPusQQ8bIqFwgEKg8IACoHCAowjuuKAzCWrzww5oEY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The New York Times				Left-Center	11.0	July 14, 2021	True	-3.791127
Texas Dems fled the state in dramatic move to stall GOP election bills, but why to Washington, DC?	https://news.google.com/articles/CAIiEOHp9w1xL8oSsE_RHAjljYMqGQgEKhAIACoHCAowwL2ICzCckocDMMaPqQY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Fox News				Right	12.0	July 14, 2021	True	14.15439
It's Time for George W. Bush to Stand Down and Shut Up	https://news.google.com/articles/CAIiEMll-iML7b_01JkBuLgKD6gqFggEKg0IACoGCAow7s8BMNBIMLi-lgc?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Daily Beast				Left	13.0	July 14, 2021	True	-20.771172
Pitbull posts impassioned appeal for swift assistance for Cubans	https://news.google.com/articles/CAIiENbUpG8-liavHuvhg_RnyLQqGQgEKhAIACoHCAowwL2ICzCckocDMOOUqQY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Fox News				Right	14.0	July 14, 2021	True	3.618424
Chelan County Sheriff's Office reveals likely cause of Red Apple Fire; search warrant executed at local home	https://news.google.com/articles/CBMiuAFodHRwczovL3d3dy5pZmliZXJvbmUuY29tL2NvbHVtYmlhX2Jhc2luL2NoZWxhbi1jb3VudHktc2hlcmlmZi1zLW9mZmljZS1yZXZlYWxzLWxpa2VseS1jYXVzZS1vZi1yZWQtYXBwbGUtZmlyZS1zZWFyY2gtd2FycmFudC1leGVjdXRlZC9hcnRpY2xlXzM3Yzk1YmE2LWU1MGMtMTFlYi04MDAwLWQ3NDI4N2QwNTNlOC5odG1s0gEA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	iFIBER One News				Unknown	15.0	July 14, 2021	True	2.464355
House Democrats probe Arizona election auditor Cyber Ninjas and request documents	https://news.google.com/articles/CAIiEA1IG_yfn0CjBPCF-wIdby8qGQgEKhAIACoHCAow2Nb3CjDivdcCMJ_d7gU?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	CNBC				Left-Center	16.0	July 14, 2021	True	-4.993047
Tennessee top vaccine official received muzzle in mail at office before she was fired	https://news.google.com/articles/CAIiEAFIjvo3wIO70RGEx3Q-Q_gqGQgEKhAIACoHCAow9vz_CjCgoIsDMLb14gU?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Tennessean				Neutral	17.0	July 14, 2021	True	-2.024714
Sentencing of Mollie Tibbetts' convicted killer delayed after bombshell by defense	https://news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LnlhaG9vLmNvbS9nbWEvc2VudGVuY2luZy1tb2xsaWUtdGliYmV0dHMtY29udmljdGVkLWtpbGxlci0xODIxMTgzODguaHRtbNIBXGh0dHBzOi8vd3d3LnlhaG9vLmNvbS9hbXBodG1sL2dtYS9zZW50ZW5jaW5nLW1vbGxpZS10aWJiZXR0cy1jb252aWN0ZWQta2lsbGVyLTE4MjExODM4OC5odG1s?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Yahoo! Voices				Left-Center	18.0	July 14, 2021	True	3.954613
Why weren't SOS Cuba protesters in Miami arrested under Florida's new anti-riot law?	https://news.google.com/articles/CAIiENI3l6ADp7FbwSjb0V6EBw4qGQgEKhAIACoHCAowntT-CjDj_fYCMNm03gU?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	WPLG Local 10				Unknown	19.0	July 14, 2021	True	-6.528471
Official: U.S. still wants to revive nuclear deal, despite Iran kidnap allegations	https://news.google.com/articles/CAIiEJqbg4YbG1F1Y24DoQHzATwqGQgEKhAIACoHCAow4Zn5CjCu8uACMLTRlgY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	POLITICO				Left-Center	20.0	July 14, 2021	True	1.767885
South Carolina hospital fires five employees for refusing coronavirus vaccine | TheHill	https://news.google.com/articles/CBMidWh0dHBzOi8vdGhlaGlsbC5jb20vaG9tZW5ld3Mvc3RhdGUtd2F0Y2gvNTYzMDU4LXNvdXRoLWNhcm9saW5hLWhvc3BpdGFsLWZpcmVzLWZpdmUtZW1wbG95ZWVzLWZvci1yZWZ1c2luZy1jb3JvbmF2aXJ1c9IBeWh0dHBzOi8vdGhlaGlsbC5jb20vaG9tZW5ld3Mvc3RhdGUtd2F0Y2gvNTYzMDU4LXNvdXRoLWNhcm9saW5hLWhvc3BpdGFsLWZpcmVzLWZpdmUtZW1wbG95ZWVzLWZvci1yZWZ1c2luZy1jb3JvbmF2aXJ1cz9hbXA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Hill				Neutral	21.0	July 14, 2021	True	2.458827
US Will Evacuate Afghans Who Helped It And Its Allies During 20-Year War	https://news.google.com/articles/CAIiEM7ypG-VKMo_gPKrg72KAK8qFwgEKg4IACoGCAow9vBNMK3UCDCFpJYH?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	NPR				Left-Center	22.0	July 14, 2021	True	-1.72554
Michigan GOP official who said Trump 'blew it' resigns from executive director post	https://news.google.com/articles/CAIiEICtxDkRpIjgTA6-1SCrAxgqGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Washington Post				Left-Center	23.0	July 14, 2021	True	CONSENT
Metro Detroit weather: Breaking down storm chances over next 2 days, into weekend	https://news.google.com/articles/CAIiEJGbpMUVDvd5pcig-P_bhcIqGQgEKhAIACoHCAowztP-CjDSgfcCMLmz3gU?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	WDIV ClickOnDetroit				Neutral	24.0	July 14, 2021	True	1.283445
If you don't leave, you're dead': Oregon wildfire forces hundreds from homes	https://news.google.com/articles/CBMib2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL3VzL2lmLXlvdS1kb250LWxlYXZlLXlvdXJlLWRlYWQtb3JlZ29uLXdpbGRmaXJlLWZvcmNlcy1odW5kcmVkcy1ob21lcy0yMDIxLTA3LTE0L9IBAA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Reuters				Neutral	25.0	July 14, 2021	True	-0.383528
Covid-19 Delta variant: Does vaccine work against it? Are booster shots needed?	https://news.google.com/articles/CCAiCzhRaFNnTjFtLWFnmAEB?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	syracuse.com				Neutral	26.0	July 14, 2021	True	LOWDATA
WATCH LIVE: Tracking evening storms with heavy rain	https://news.google.com/articles/CCAiC1RkcjJQZEhlajJvmAEB?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	9NEWS				Neutral	27.0	July 14, 2021	True	LOWDATA
Massachusetts doc says breakthrough COVID-19 cases 'consistent with what we expect'	https://news.google.com/articles/CAIiEOU8Iz7SqZ56KAr2uUjMInkqGAgEKg8IACoHCAowr8TxCTCG6nIwhr6YBg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	WCVB Boston				Unknown	28.0	July 14, 2021	True	-2.369534
Man who dangled from Senate balcony pleads guilty in Capitol riots, will cooperate against others	https://news.google.com/articles/CAIiEJD-oKOg8NcquZOpjyQYso0qGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Washington Post				Left-Center	29.0	July 14, 2021	True	-1.734077
Europe Is Proposing a Border Carbon Tax. What Is It and How Will It Work?	https://news.google.com/articles/CAIiEPzm60EDhMN09BljlKXtMWYqFwgEKg8IACoHCAowjuuKAzCWrzwwxoIY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The New York Times				Left-Center	30.0	July 14, 2021	True	-4.081348
										ERROR
Germany floods: Merkel voices horror at ‘catastrophe’ as death toll passes 80	https://news.google.com/articles/CAIiEO3xtePj9ZiGG6CvWd4aYqAqFwgEKg4IACoGCAowl6p7MN-zCTDZ4PsF?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Guardian				Left-Center	1.0	July 15, 2021	True	-2.967695
Manchin meets with Texas Dems and says he wants pared-down voting rights bill	https://news.google.com/articles/CAIiEJERh3hXUIULG-vjwu_mxB0qMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIwpvTQBg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	CNN				Left	2.0	July 15, 2021	True	BADLINK
Evacuations expand in Lake County as 227,000-acre Bootleg Fire spreads erratically	https://news.google.com/articles/CBMifmh0dHBzOi8va3R2ei5jb20vbmV3cy9maXJlLWFsZXJ0LzIwMjEvMDcvMTUvZXZhY3VhdGlvbnMtZXhwYW5kLWluLWxha2UtY291bnR5LWFzLTIyNzAwMC1hY3JlLWJvb3RsZWctZmlyZS1zcHJlYWRzLWVycmF0aWNhbGx5L9IBAA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	KTVZ				Unknown	3.0	July 15, 2021	True	-1.277728
AOC's Cuba tweet draws fiery response from Florida Dem	https://news.google.com/articles/CAIiEA26t_YdWuyvVT-eX39fImcqGQgEKhAIACoHCAow4Zn5CjCu8uACMLTRlgY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	POLITICO				Left-Center	4.0	July 15, 2021	True	-9.313618
Protests In Cuba: President Miguel Díaz-Canel Admits Shortcomings	https://news.google.com/articles/CAIiEFMAUIFOTUg2ccYIE7N_vxwqFwgEKg4IACoGCAow9vBNMK3UCDCFpJYH?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	NPR				Left-Center	5.0	July 15, 2021	True	-4.276034
Melania Trump reportedly tried 4 times to block an election night party at the White House	https://news.google.com/articles/CBMiRmh0dHBzOi8vbmV3cy55YWhvby5jb20vbWVsYW5pYS10cnVtcC1yZXBvcnRlZGx5LXRyaWVkLTQtMDI1NzMyOTEzLmh0bWzSAU5odHRwczovL25ld3MueWFob28uY29tL2FtcGh0bWwvbWVsYW5pYS10cnVtcC1yZXBvcnRlZGx5LXRyaWVkLTQtMDI1NzMyOTEzLmh0bWw?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Yahoo News				Left-Center	6.0	July 15, 2021	True	-16.161676
Deputy indicted in shooting of man who called 911 for help	https://news.google.com/articles/CBMiVGh0dHBzOi8vYWJjbmV3cy5nby5jb20vVVMvd2lyZVN0b3J5L2RlcHV0eS1pbmRpY3RlZC1zaG9vdGluZy1tYW4tY2FsbGVkLTkxMS03ODg3NDI3ONIBWGh0dHBzOi8vYWJjbmV3cy5nby5jb20vYW1wL1VTL3dpcmVTdG9yeS9kZXB1dHktaW5kaWN0ZWQtc2hvb3RpbmctbWFuLWNhbGxlZC05MTEtNzg4NzQyNzg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	ABC News				Left-Center	7.0	July 15, 2021	True	-0.462664
