Headline	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 Hours?	Bipartisan Press Bias
At Mercy Culture, the nations fastest-growing Christian movement is openly political and central to Trump's GOP	https://news.google.com/articles/CAIiEOJwsKW2T3wlHP-XtH72ykoqGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Washington Post				Left-Center	13.0	July 11, 2021	True	CONSENT
Confirmed deaths in condo collapse now at 90	https://news.google.com/articles/CCAiC0MyaUxjX0xKczljmAEB?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	WPLG Local 10				Unknown	14.0	July 11, 2021	True	LOWDATA
1 dead, 4 injured in SLC crash; Airport TRAX line closed	https://news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LmZveDEzbm93LmNvbS9uZXdzL2xvY2FsLW5ld3MvMS1kZWFkLTQtaW5qdXJlZC1pbi1zbGMtY3Jhc2gtYWlycG9ydC10cmF4LWxpbmUtY2xvc2Vk0gFpaHR0cHM6Ly93d3cuZm94MTNub3cuY29tL25ld3MvbG9jYWwtbmV3cy8xLWRlYWQtNC1pbmp1cmVkLWluLXNsYy1jcmFzaC1haXJwb3J0LXRyYXgtbGluZS1jbG9zZWQ_X2FtcD10cnVl?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	fox13now.com				Unknown	15.0	July 11, 2021	True	-0.311029
Arrests threatened if people don’t evacuate as southern Oregon’s Bootleg fire explodes	https://news.google.com/articles/CAIiEHdYPI5OaalJZPZ6qPqDdQIqGQgEKhAIACoHCAownqX_CjCltfgCMJm5pAY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	OregonLive				Unknown	16.0	July 11, 2021	True	1.279557
Debate over the winner of a foot race leads to triple shooting	https://news.google.com/articles/CAIiEAxIsqjx6DOgEH33S2eBFgoqGAgEKg8IACoHCAowhK-LAjD4ySww-9S0BQ?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	New York Post				Right-Center	17.0	July 11, 2021	True	1.324056
Extreme Temperatures Fuel Fires Across The West	https://news.google.com/articles/CCAiC3ktZGdVT0ZNNzRZmAEB?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	NBC News				Left-Center	18.0	July 11, 2021	True	LOWDATA
1 dead after recording studio fight leads to shooting, sources say	https://news.google.com/articles/CCAiC3NpX1R0R0pMdE1nmAEB?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	6abc Philadelphia				Unknown	19.0	July 11, 2021	True	LOWDATA
Global Tax Deal Heads Down Perilous Path in Congress	https://news.google.com/articles/CAIiELBN_g93adbFm_GfesdhnjwqGAgEKg8IACoHCAow1tzJATDnyxUwxcrPBg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Wall Street Journal				Right-Center	20.0	July 11, 2021	True	LOWDATA
Hundreds of Thai medical workers infected despite Sinovac vaccinations	https://news.google.com/articles/CBMiemh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2FzaWEtcGFjaWZpYy9odW5kcmVkcy10aGFpLW1lZGljYWwtd29ya2Vycy1pbmZlY3RlZC1kZXNwaXRlLXNpbm92YWMtdmFjY2luYXRpb25zLTIwMjEtMDctMTEv0gEA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Reuters				Neutral	21.0	July 11, 2021	False	-0.540302
Noem says it was 'tough' to be 'attacked by my friends' in conservative media over trans-athlete bill	https://news.google.com/articles/CBMiPGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL21lZGlhL2tyaXN0aS1ub2VtLWNvbnNlcnZhdGl2ZS1tZWRpYdIBQGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL21lZGlhL2tyaXN0aS1ub2VtLWNvbnNlcnZhdGl2ZS1tZWRpYS5hbXA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Fox News				Right	22.0	July 11, 2021	True	5.877767
Listen up: Biden speaks volumes in a whisper to make a point	https://news.google.com/articles/CBMia2h0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2pvZS1iaWRlbi1lbnRlcnRhaW5tZW50LWdvdmVybm1lbnQtYW5kLXBvbGl0aWNzLWIyNzJkODczZTMzNjNmNjFjOTVlMzI0MjQ0ZTkyZTYy0gEA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Associated Press				Neutral	23.0	July 11, 2021	True	1.733032
